id,album_name,album_type,total_tracks,release_date
1atsQ3zl1LR122Y1UZajsE,Frail Words Collapse,album,12,2003
3D8V1PlxgpX05jyHLv6e4P,Shadows Are Security,album,12,2005
2uZxUCOF9ImZSWC3TnDIc0,A Long March: The First Recordings,album,22,2006-05-16
2hghqPOGmfBdEfWeMsQWdN,An Ocean Between Us,album,12,2007-08-21
7hTlURTPM9XKflsx22FupN,This Is Who We Are,album,14,2009-04-14
4vJxMmzmQsm0lvVo8QF6Lk,The Powerless Rise,album,11,2010-05-11
6lv3AIgAU73EkfqZgK1bSl,Decas,album,12,2011-11-08
4rZ7e2c5r2B1SK9fpKSDAZ,Awakened,album,13,2012-09-25
0rK6ib4lcbcfsDimSg7vyn,Shaped By Fire,album,12,2019-09-20
3PPayB8bP8bK65ws2FWGq2,Through Storms Ahead,album,11,2024-11-15
